bin	chrom	chromStart	chromEnd	name	score	strand	otherChrom	otherStart	otherEnd	otherSize	uid	posBasesHit	testResult	verdict	chits	ccov	alignfile	alignL	indelN	indelS	alignB	matchB	mismatchB	transitionsB	transversionsB	fracMatch	fracMatchIndel	jcK	k2K
586	chr19	172443	245610	chr16:90122322	0	-	chr16	90122322	90196344	74022	16009	1000	N/A	N/A	N/A	N/A	align_both/0010/both0053853	74514	61	1839	72675	72109	566	344	222	0.992212	0.99138	0.00782882	0.00783231
586	chr19	183990	245554	chr3:198174505	0	-	chr3	198174505	198235559	61054	21776	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065233	61769	48	920	60849	60524	325	219	106	0.994659	0.993875	0.0053602	0.00536271
586	chr19	201429	245674	chr17:68923	0	+	chr17	68923	113213	44290	19804	1000	N/A	N/A	N/A	N/A	align_both/0011/both0055167	44432	37	329	44103	43730	373	252	121	0.991543	0.990711	0.00850552	0.00851194
586	chr19	204843	245570	chr1:139463	0	+	chr1	139463	180126	40663	21297	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065169	40767	25	144	40623	40312	311	213	98	0.992344	0.991734	0.0076951	0.00770064
586	chr19	204843	245570	chr9:138237368	0	-	chr9	138237368	138277977	40609	22009	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065431	40746	24	156	40590	40280	310	206	104	0.992363	0.991776	0.0076765	0.00768139
586	chr19	239306	245610	chr7:10238	0	+	chr7	10238	16461	6223	21957	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065270	6313	11	99	6214	6111	103	69	34	0.983425	0.981687	0.0167614	0.0167857
586	chr19	241073	253501	chr8:200766	0	+	chr8	200766	213019	12253	21983	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065420	12568	25	455	12113	11858	255	149	106	0.978948	0.976932	0.0213529	0.0213749
586	chr19	242230	244029	chr1:867728	0	+	chr1	867728	869546	1818	21301	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065180	1819	3	21	1798	1739	59	38	21	0.967186	0.965575	0.0335537	0.0336384
586	chr19	242230	244825	chr16:90220571	0	-	chr16	90220571	90223190	2619	16011	1000	N/A	N/A	N/A	N/A	align_both/0010/both0053854	2622	6	30	2592	2493	99	65	34	0.961806	0.959584	0.0392013	0.0393272
586	chr19	242230	244825	chr2:242165372	0	-	chr2	242165372	242167991	2619	21624	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065230	2622	6	30	2592	2494	98	62	36	0.962191	0.959969	0.0387949	0.0389006
586	chr19	242230	244825	chr8:63370	0	+	chr8	63370	65989	2619	21984	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065421	2622	6	30	2592	2494	98	63	35	0.962191	0.959969	0.0387949	0.0389079
586	chr19	242230	245487	chr1:248926319	0	-	chr1	248926319	248929587	3268	21302	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065210	3289	13	53	3236	3032	204	129	75	0.936959	0.93321	0.0658487	0.0661622
586	chr19	242230	245504	chr6:151943	0	+	chr6	151943	155205	3262	21897	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065265	3291	19	46	3245	3049	196	130	66	0.939599	0.93413	0.0629718	0.0633192
586	chr19	242230	245512	chr19:58586727	0	-	chr19	58586727	58590012	3285	21350	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065161	3289	7	11	3278	3195	83	52	31	0.97468	0.972603	0.0257576	0.0258016
586	chr19	242230	245555	chr4:190183142	0	-	chr4	190183142	190186791	3649	21817	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065249	3659	11	344	3315	3130	185	115	70	0.944193	0.94107	0.0579923	0.0582164
586	chr19	242230	245555	chr10:133765660	0	-	chr10	133765660	133769310	3650	5211	1000	N/A	N/A	N/A	N/A	align_both/0001/both0009934	3659	10	343	3316	3126	190	118	72	0.942702	0.939868	0.0596049	0.0598411
586	chr19	242230	245573	chr22:50786349	0	-	chr22	50786349	50789696	3347	21745	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065220	3350	6	10	3340	3256	84	51	33	0.97485	0.973102	0.025581	0.0256189
586	chr19	242230	245635	chr18:101553	0	+	chr18	101553	105300	3747	20843	1000	N/A	N/A	N/A	N/A	align_both/0012/both0062537	3756	13	360	3396	3229	167	102	65	0.950824	0.947199	0.0508618	0.0510202
586	chr19	242232	245503	chr4:24617	0	+	chr4	24617	27175	2558	21818	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065234	2566	12	42	2524	2370	154	103	51	0.938986	0.934543	0.0636395	0.0640066
586	chr19	242232	245503	chr4:190099109	0	-	chr4	190099109	190101667	2558	21819	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065250	2566	12	42	2524	2370	154	103	51	0.938986	0.934543	0.0636395	0.0640066
586	chr19	242232	245573	chr2:113621217	0	+	chr2	113621217	113624559	3342	21625	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065226	3348	8	13	3335	3244	91	55	36	0.972714	0.970386	0.0277951	0.0278391
586	chr19	242488	245487	chr2:13454	0	+	chr2	13454	16764	3310	21626	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065223	3324	19	339	2985	2763	222	128	94	0.925628	0.919774	0.0783228	0.0786214
586	chr19	246021	253227	chr22:50800462	0	-	chr22	50800462	50807771	7309	21746	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065222	7575	19	635	6940	6643	297	166	131	0.957205	0.954591	0.0440649	0.044143
586	chr19	246021	253227	chr10:133780050	0	-	chr10	133780050	133787046	6996	5214	1000	N/A	N/A	N/A	N/A	align_both/0001/both0009936	7265	19	328	6937	6636	301	167	134	0.956609	0.953997	0.0446963	0.0447738
586	chr19	246021	253501	chr1:248937280	0	-	chr1	248937280	248945532	8252	21303	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065211	8519	20	1306	7213	6920	293	164	129	0.959379	0.956726	0.0417626	0.041833
586	chr19	246021	253501	chr13:114346865	0	-	chr13	114346865	114353925	7060	9615	1000	N/A	N/A	N/A	N/A	align_both/0005/both0028398	7601	23	662	6939	6608	331	178	153	0.952299	0.949153	0.0492859	0.0493667
586	chr19	246021	259380	chr21:46681937	0	-	chr21	46681937	46699825	17888	21706	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065217	14533	41	1579	12954	12470	484	278	206	0.962637	0.9596	0.0383257	0.0383927
586	chr19	246021	259380	chr4:190186927	0	-	chr4	190186927	190204489	17562	21820	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065252	14219	39	1266	12953	12451	502	279	223	0.961245	0.958359	0.0397927	0.0398543
586	chr19	246021	259397	chr2:242168115	0	-	chr2	242168115	242183287	15172	21627	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065231	13595	40	632	12963	12367	596	351	245	0.954023	0.951088	0.0474466	0.0475632
586	chr19	246279	259397	chr2:113603477	0	+	chr2	113603477	113621091	17614	21628	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065227	14253	44	1546	12707	12245	462	266	196	0.963642	0.960317	0.0372687	0.0373327
586	chr19	246324	259397	chr19:58590136	0	-	chr19	58590136	58607454	17318	21351	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065162	13955	42	1289	12666	12203	463	255	208	0.963445	0.960261	0.0374754	0.0375275
586	chr19	246788	250986	chr20:64282024	0	-	chr20	64282024	64286324	4300	21672	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065215	4374	30	250	4124	3775	349	186	163	0.915373	0.908763	0.0897936	0.0900622
586	chr19	248053	257292	chr6:170598034	0	-	chr6	170598034	170608165	10131	21898	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065268	12009	55	4648	7361	6781	580	316	264	0.921206	0.914374	0.0832474	0.0835044
586	chr19	248365	253228	chr17:83242276	0	-	chr17	83242276	83247136	4860	19828	1000	N/A	N/A	N/A	N/A	align_both/0012/both0061652	4872	10	21	4851	4684	167	105	62	0.965574	0.963588	0.035241	0.0353256
586	chr19	248643	259081	chr5:181465240	0	-	chr5	181465240	181478259	13019	21867	1000	N/A	N/A	N/A	N/A	align_both/0013/both0065261	11199	34	931	10268	9862	406	251	155	0.96046	0.95729	0.0406208	0.040726
